Date,Close
1/2/2015 16:00:00,59.51
1/5/2015 16:00:00,58.58
1/6/2015 16:00:00,58.48
1/7/2015 16:00:00,59.24
1/8/2015 16:00:00,60.72
1/9/2015 16:00:00,60.32
1/12/2015 16:00:00,62.18
1/13/2015 16:00:00,63.12
1/14/2015 16:00:00,62.95
1/15/2015 16:00:00,61.63
1/16/2015 16:00:00,62.31
1/20/2015 16:00:00,62.45
1/21/2015 16:00:00,61.95
1/22/2015 16:00:00,62.09
1/23/2015 16:00:00,62.07
1/26/2015 16:00:00,62.46
1/27/2015 16:00:00,61.99
1/28/2015 16:00:00,61.33
1/29/2015 16:00:00,61.14
1/30/2015 16:00:00,60.27
2/2/2015 16:00:00,60.23
2/3/2015 16:00:00,59.86
2/4/2015 16:00:00,59.24
2/5/2015 16:00:00,60.23
2/6/2015 16:00:00,59.67
2/9/2015 16:00:00,58.85
2/10/2015 16:00:00,59.83
2/11/2015 16:00:00,59.31
2/12/2015 16:00:00,59.48
2/13/2015 16:00:00,60.04
2/17/2015 16:00:00,60.1
2/18/2015 16:00:00,60.01
2/19/2015 16:00:00,59.55
2/20/2015 16:00:00,60.52
2/23/2015 16:00:00,61.29
2/24/2015 16:00:00,61.45
2/25/2015 16:00:00,61.22
2/26/2015 16:00:00,61.46
2/27/2015 16:00:00,60.92
3/2/2015 16:00:00,62.3
3/3/2015 16:00:00,61.92
3/4/2015 16:00:00,65.67
3/5/2015 16:00:00,66.05
3/6/2015 16:00:00,65.12
3/9/2015 16:00:00,66.36
3/10/2015 16:00:00,65.53
3/11/2015 16:00:00,65.6
3/12/2015 16:00:00,66.65
3/13/2015 16:00:00,66.87
3/16/2015 16:00:00,68.03
3/17/2015 16:00:00,67.62
3/18/2015 16:00:00,68.47
3/19/2015 16:00:00,68.32
3/20/2015 16:00:00,67.76
3/23/2015 16:00:00,67.58
3/24/2015 16:00:00,65.69
3/25/2015 16:00:00,64.7
3/26/2015 16:00:00,65
3/27/2015 16:00:00,65.26
3/30/2015 16:00:00,65.76
3/31/2015 16:00:00,64.5
4/1/2015 16:00:00,63.56
4/2/2015 16:00:00,63.23
4/6/2015 16:00:00,63
4/7/2015 16:00:00,63
4/8/2015 16:00:00,63.52
4/9/2015 16:00:00,63.46
4/10/2015 16:00:00,64.64
4/13/2015 16:00:00,63.95
4/14/2015 16:00:00,64.03
4/15/2015 16:00:00,63.43
4/16/2015 16:00:00,63.68
4/17/2015 16:00:00,65.35
4/20/2015 16:00:00,65.86
4/21/2015 16:00:00,66.81
4/22/2015 16:00:00,66.6
4/23/2015 16:00:00,66
4/24/2015 16:00:00,65.8
4/27/2015 16:00:00,65.16
4/28/2015 16:00:00,64.54
4/29/2015 16:00:00,64.29
4/30/2015 16:00:00,63.73
5/1/2015 16:00:00,64.66
5/4/2015 16:00:00,65.32
5/5/2015 16:00:00,65.03
5/6/2015 16:00:00,64.67
5/7/2015 16:00:00,65.05
5/8/2015 16:00:00,66.93
5/11/2015 16:00:00,68.11
5/12/2015 16:00:00,67.5
5/13/2015 16:00:00,67.4
5/14/2015 16:00:00,67.45
5/15/2015 16:00:00,67.64
5/18/2015 16:00:00,68
5/19/2015 16:00:00,68.27
5/20/2015 16:00:00,69.08
5/21/2015 16:00:00,68.89
5/22/2015 16:00:00,68.3
5/26/2015 16:00:00,67.5
5/27/2015 16:00:00,68.4
5/28/2015 16:00:00,69.15
5/29/2015 16:00:00,64.6
6/1/2015 16:00:00,66.48
6/2/2015 16:00:00,65.8
6/3/2015 16:00:00,65.7
6/4/2015 16:00:00,65.77
6/5/2015 16:00:00,66.2
6/8/2015 16:00:00,65.32
6/9/2015 16:00:00,65.08
6/10/2015 16:00:00,65.53
6/11/2015 16:00:00,65.85
6/12/2015 16:00:00,65.28
6/15/2015 16:00:00,65.42
6/16/2015 16:00:00,65.97
6/17/2015 16:00:00,66.3
6/18/2015 16:00:00,66.62
6/19/2015 16:00:00,66.8
6/22/2015 16:00:00,67.06
6/23/2015 16:00:00,67.33
6/24/2015 16:00:00,66.81
6/25/2015 16:00:00,66.84
6/26/2015 16:00:00,67.54
6/29/2015 16:00:00,65.97
6/30/2015 16:00:00,66.54
7/1/2015 16:00:00,67.67
7/2/2015 16:00:00,67.48
7/6/2015 16:00:00,67.5
7/7/2015 16:00:00,68.23
7/8/2015 16:00:00,67.74
7/9/2015 16:00:00,67.89
7/10/2015 16:00:00,69.27
7/13/2015 16:00:00,69.66
7/14/2015 16:00:00,70.06
7/15/2015 16:00:00,69.28
7/16/2015 16:00:00,69.38
7/17/2015 16:00:00,69.29
7/20/2015 16:00:00,69.97
7/21/2015 16:00:00,68.87
7/22/2015 16:00:00,69.37
7/23/2015 16:00:00,68.24
7/24/2015 16:00:00,65.98
7/27/2015 16:00:00,64.3
7/28/2015 16:00:00,64.66
7/29/2015 16:00:00,64.89
7/30/2015 16:00:00,64.46
7/31/2015 16:00:00,65.64
8/3/2015 16:00:00,65.34
8/4/2015 16:00:00,64.84
8/5/2015 16:00:00,65.06
8/6/2015 16:00:00,63.54
8/7/2015 16:00:00,63.41
8/10/2015 16:00:00,63.89
8/11/2015 16:00:00,62.66
8/12/2015 16:00:00,62.39
8/13/2015 16:00:00,62.42
8/14/2015 16:00:00,63.08
8/17/2015 16:00:00,63.47
8/18/2015 16:00:00,64.28
8/19/2015 16:00:00,64.12
8/20/2015 16:00:00,62.71
8/21/2015 16:00:00,61.07
8/24/2015 16:00:00,58.65
8/25/2015 16:00:00,57.88
8/26/2015 16:00:00,60.03
8/27/2015 16:00:00,60.82
8/28/2015 16:00:00,60.61
8/31/2015 16:00:00,59.47
